Ligand,Binding Affinity,rmsd/ub, rmsd/lb
1e88_(2)_model1_892_uff_E=156.51,-4.7,0,0
1e88_(2)_model1_892_uff_E=156.51,-4.5,11.033,10.067
1e88_(2)_model1_892_uff_E=156.51,-4.5,18.818,17.334
1e88_(2)_model1_892_uff_E=156.51,-4.5,18.126,17.207
1e88_(2)_model1_892_uff_E=156.51,-4.5,3.615,0.981
1e88_(2)_model1_892_uff_E=156.51,-4.4,19.359,17.742
1e88_(2)_model1_892_uff_E=156.51,-4.4,11.732,10.21
1e88_(2)_model1_892_uff_E=156.51,-4.4,20.137,19.132
1e88_(2)_model1_892_uff_E=156.51,-4.3,15.407,13.576
1e88_(2)_model1_2244_uff_E=163.90,-4.8,0,0
1e88_(2)_model1_2244_uff_E=163.90,-4.7,8.315,6.656
1e88_(2)_model1_2244_uff_E=163.90,-4.7,3.734,1.279
1e88_(2)_model1_2244_uff_E=163.90,-4.6,30.596,28.659
1e88_(2)_model1_2244_uff_E=163.90,-4.6,7.996,6.894
1e88_(2)_model1_2244_uff_E=163.90,-4.6,15.26,13.774
1e88_(2)_model1_2244_uff_E=163.90,-4.6,31.535,29.598
1e88_(2)_model1_2244_uff_E=163.90,-4.6,3.211,1.838
1e88_(2)_model1_2244_uff_E=163.90,-4.5,12.216,10.196
1e88_(2)_model1_22830_uff_E=223.48,-6.8,0,0
1e88_(2)_model1_22830_uff_E=223.48,-6.8,6.856,2.592
1e88_(2)_model1_22830_uff_E=223.48,-6.5,28.438,25.625
1e88_(2)_model1_22830_uff_E=223.48,-6.5,6.686,3.354
1e88_(2)_model1_22830_uff_E=223.48,-6.5,7.156,2.155
1e88_(2)_model1_22830_uff_E=223.48,-6.3,27.227,22.282
1e88_(2)_model1_22830_uff_E=223.48,-6.3,2.411,1.757
1e88_(2)_model1_22830_uff_E=223.48,-6.3,4.519,2.815
1e88_(2)_model1_22830_uff_E=223.48,-6.2,28.279,24.289
1e88_(2)_model1_276204_uff_E=190.20,-6.6,0,0
1e88_(2)_model1_276204_uff_E=190.20,-6.6,8.775,5.592
1e88_(2)_model1_276204_uff_E=190.20,-6.4,3.96,1.39
1e88_(2)_model1_276204_uff_E=190.20,-6.3,10.93,9.361
1e88_(2)_model1_276204_uff_E=190.20,-6.1,10.83,9.401
1e88_(2)_model1_276204_uff_E=190.20,-6.1,11.789,7.834
1e88_(2)_model1_276204_uff_E=190.20,-6,2.955,1.588
1e88_(2)_model1_276204_uff_E=190.20,-5.9,30.641,28.573
1e88_(2)_model1_276204_uff_E=190.20,-5.9,11.479,8.13
1e88_(2)_model1_520098_uff_E=78.79,-4.6,0,0
1e88_(2)_model1_520098_uff_E=78.79,-4.5,5.318,3.993
1e88_(2)_model1_520098_uff_E=78.79,-4.4,8.095,6.59
1e88_(2)_model1_520098_uff_E=78.79,-4.2,6.108,4.546
1e88_(2)_model1_520098_uff_E=78.79,-4.1,8.499,7.513
1e88_(2)_model1_520098_uff_E=78.79,-4.1,7.93,6.353
1e88_(2)_model1_520098_uff_E=78.79,-4.1,10.094,9.146
1e88_(2)_model1_520098_uff_E=78.79,-4.1,10.974,9.967
1e88_(2)_model1_520098_uff_E=78.79,-4,4.791,3.645
1e88_(2)_model1_5280497_uff_E=752.15,-6.1,0,0
1e88_(2)_model1_5280497_uff_E=752.15,-6.1,8.953,4.012
1e88_(2)_model1_5280497_uff_E=752.15,-6,12.317,10.082
1e88_(2)_model1_5280497_uff_E=752.15,-5.9,8.514,3.665
1e88_(2)_model1_5280497_uff_E=752.15,-5.8,10.119,4.651
1e88_(2)_model1_5280497_uff_E=752.15,-5.7,8.706,2.488
1e88_(2)_model1_5280497_uff_E=752.15,-5.7,4.073,2.609
1e88_(2)_model1_5280497_uff_E=752.15,-5.7,6.284,2.293
1e88_(2)_model1_5280497_uff_E=752.15,-5.6,2.613,2.056
1e88_(2)_model1_3082405_uff_E=167.96,-6.7,0,0
1e88_(2)_model1_3082405_uff_E=167.96,-6.5,4.603,2.295
1e88_(2)_model1_3082405_uff_E=167.96,-6.1,1.954,1.287
1e88_(2)_model1_3082405_uff_E=167.96,-6.1,7.588,5.598
1e88_(2)_model1_3082405_uff_E=167.96,-6,27.78,23.665
1e88_(2)_model1_3082405_uff_E=167.96,-6,5.896,3.218
1e88_(2)_model1_3082405_uff_E=167.96,-5.7,2.238,1.859
1e88_(2)_model1_3082405_uff_E=167.96,-5.7,9.562,8.456
1e88_(2)_model1_3082405_uff_E=167.96,-5.7,7.425,5.011
1e88_(2)_model1_6430321_uff_E=235.27,-5.3,0,0
1e88_(2)_model1_6430321_uff_E=235.27,-5.1,7.824,5.72
1e88_(2)_model1_6430321_uff_E=235.27,-5.1,3.648,2.225
1e88_(2)_model1_6430321_uff_E=235.27,-4.9,6.138,4.951
1e88_(2)_model1_6430321_uff_E=235.27,-4.8,4.086,2.078
1e88_(2)_model1_6430321_uff_E=235.27,-4.7,9.093,7.797
1e88_(2)_model1_6430321_uff_E=235.27,-4.7,8.796,7.569
1e88_(2)_model1_6430321_uff_E=235.27,-4.7,11.495,10.274
1e88_(2)_model1_6430321_uff_E=235.27,-4.7,8.493,6.723
1e88_(2)_model1_54678486_uff_E=239.36,-6.8,0,0
1e88_(2)_model1_54678486_uff_E=239.36,-6.8,11.902,9.026
1e88_(2)_model1_54678486_uff_E=239.36,-6.7,12.938,10.988
1e88_(2)_model1_54678486_uff_E=239.36,-6.6,12.233,9.253
1e88_(2)_model1_54678486_uff_E=239.36,-6.6,13.038,10.931
1e88_(2)_model1_54678486_uff_E=239.36,-6.4,6.772,4.4
1e88_(2)_model1_54678486_uff_E=239.36,-6.2,11.516,8.629
1e88_(2)_model1_54678486_uff_E=239.36,-6.2,10.475,8.768
1e88_(2)_model1_54678486_uff_E=239.36,-6.2,6.345,2.091
1e88_(2)_model1_90659041_uff_E=125.68,-3.8,0,0
1e88_(2)_model1_90659041_uff_E=125.68,-3.6,12.875,12.28
1e88_(2)_model1_90659041_uff_E=125.68,-3.5,2.605,2.512
1e88_(2)_model1_90659041_uff_E=125.68,-3.4,19.029,17.491
1e88_(2)_model1_90659041_uff_E=125.68,-3.4,9.849,9.195
1e88_(2)_model1_90659041_uff_E=125.68,-3.4,2.114,1.866
1e88_(2)_model1_90659041_uff_E=125.68,-3.4,10.635,9.99
1e88_(2)_model1_90659041_uff_E=125.68,-3.3,29.342,28.738
1e88_(2)_model1_90659041_uff_E=125.68,-3.3,2.053,1.849
